Stations,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB
16,140,348,453,614,1017,1259,2475,2858,4531,1355,1130,847,703,593,320,240,177,105,300,406,499,552,595,815,4796,5865,7251,8784,9519,12079,2525,2233,1873,1210,922,174,127,202,148,772,661,275,247
24,146,349,410,519,860,998,1845,2147,3400,951,814,583,443,357,175,119,76,47,247,312,385,419,444,577,3567,5252,7408,9333,10426,10719,13020,2257,1946,1222,921,106,77,159,122,754,653,257,236
GP,42,115,143,185,338,384,849,1000,1597,420,353,289,224,181,87,61,48,33,120,194,247,269,296,371,1649,2897,4597,5830,6565,6939,7240,7938,675,540,459,67,52,79,62,392,357,126,152
BP,71,188,227,264,389,439,864,992,1805,624,519,402,323,262,133,89,66,38,156,201,245,261,279,320,1879,3397,5974,8404,9874,10601,11317,11456,12358,849,687,80,67,99,77,542,443,118,168
DC,59,188,232,267,414,463,1009,1156,2097,766,672,568,471,409,211,169,128,79,210,291,362,386,407,451,2150,3436,5044,6345,7050,7323,7603,7679,7823,8579,728,133,110,124,84,679,610,200,258
CM,14,50,56,64,102,112,272,336,565,119,110,95,78,68,32,26,18,10,65,83,110,115,120,127,578,1381,2342,3025,3503,3667,3838,3904,4044,4099,4425,24,22,36,26,314,293,101,117
CV,6,14,20,28,91,104,172,244,2013,2122,2188,2312,2365,2545,110,81,56,35,13,17,27,28,30,38,1660,1652,1047,590,355,159,115,85,74,59,36,2677,125,5,4,33,28,19,5
ED,19,54,75,93,254,278,409,585,5993,6168,6296,6727,6821,7308,285,209,169,104,28,38,47,50,53,67,5168,5143,3104,1780,1132,636,512,431,381,319,210,7419,7448,16,13,188,164,124,21
NC,5,13,18,23,77,86,2367,2235,2065,135,122,109,52,41,31,22,17,11,2586,2525,2490,2413,2398,2391,1907,1764,1176,703,469,261,213,176,162,140,99,3,2,2665,70,89,81,58,11
WP,44,90,105,119,225,257,4667,4203,3963,487,434,367,217,172,125,78,62,40,5544,5175,5049,4790,4742,4721,3661,3136,2303,1602,1129,687,546,443,394,322,240,17,12,5604,5623,214,191,119,31
SS,11,44,53,60,92,99,245,311,512,124,112,100,77,67,31,21,12,6,57,77,101,107,111,118,526,1158,1912,2350,2700,2818,2918,2956,3053,3123,3142,27,24,34,26,3310,155,44,62
SB,27,75,85,96,139,153,356,403,656,167,151,116,86,73,32,21,14,8,84,112,134,143,150,163,680,1253,1855,2274,2582,2722,2868,2939,3085,3229,3300,24,19,49,39,3344,3487,60,70
SO,38,135,207,317,578,648,1732,1809,2460,515,481,414,350,307,125,101,88,62,287,438,619,711,791,949,2529,3189,3805,5567,6257,6532,6769,6889,6996,7191,7285,155,134,169,117,7324,7717,7773,330
MB,35,98,124,160,337,371,624,727,1039,174,154,126,88,67,26,18,12,8,75,96,133,146,156,181,1066,2176,3501,4263,4760,5010,5261,5409,5564,5812,5927,29,23,46,35,5987,6454,394,6483
