Source,12_19,12_LM,12_OW,16_24,16_CC,19_MA,24_GP,AS_BK,AS_MA,BF_CV,BF_HY,BF_SL,BK_NB,BP_DC,BP_GP,CC_PL,CL_FV,CL_SL,CM_DC,CM_SS,CN_NC,CN_PH,CV_ED,EM_MT,EM_OW,EN_EP,EN_RM,EP_NB,FM_UC,FV_LM,HY_SH,LF_OR,LF_WC,LM_OW,MA_RR,MB_SB,MB_SO,MT_PL,NC_WP,OR_RR,PH_WC,SB_SO,SB_SS,SH_UC
PL,9775,0,16793,12112,13895,8936,9916,3576,4068,1005,1652,3192,2327,5528,8499,14235,4382,3739,4017,3237,841,1383,724,18251,17705,1413,427,1837,659,5301,1312,2946,2620,5993,3877,785,0,18434,573,3182,2005,1465,2731,1058
CC,8009,0,13405,6163,6961,7169,5022,2689,3167,762,1142,2266,1856,2999,4352,15436,3204,2717,2284,1817,771,1220,541,14598,14078,1042,296,1412,399,3955,866,2314,2080,4495,3120,474,0,15058,535,2522,1683,657,1465,653
16,2858,0,4531,2525,9519,2475,2233,1017,1259,174,320,593,614,1210,1873,8784,847,703,922,772,202,300,127,5865,4796,348,140,453,105,1130,240,552,499,1355,815,247,0,7251,148,595,406,275,661,177
24,2147,0,3400,10719,10426,1845,2257,860,998,106,175,357,519,1222,1946,9333,583,443,921,754,159,247,77,5252,3567,349,146,410,47,814,119,419,385,951,577,236,0,7408,122,444,312,257,653,76
GP,1000,0,1597,6939,6565,849,7240,338,384,67,87,181,185,540,675,5830,289,224,459,392,79,120,52,2897,1649,115,42,143,33,353,61,269,247,420,371,152,0,4597,62,296,194,126,357,48
BP,992,0,1805,10601,9874,864,11317,389,439,80,133,262,264,849,11456,8404,402,323,687,542,99,156,67,3397,1879,188,71,227,38,519,89,261,245,624,320,168,0,5974,77,279,201,118,443,66
DC,1156,0,2097,7323,7050,1009,7603,414,463,133,211,409,267,7823,7679,6345,568,471,728,679,124,210,110,3436,2150,188,59,232,79,672,169,386,362,766,451,258,0,5044,84,407,291,200,610,128
CM,336,0,565,3667,3503,272,3838,102,112,24,32,68,64,4044,3904,3025,95,78,4099,314,36,65,22,1381,578,50,14,56,10,110,26,115,110,119,127,117,0,2342,26,120,83,101,293,18
CV,244,2013,0,115,159,172,85,91,104,2545,110,2365,28,59,74,355,2188,2312,36,33,5,13,125,1047,1652,14,6,20,35,2122,81,28,27,1660,38,5,0,590,4,30,17,19,28,56
ED,585,5993,0,512,636,409,431,254,278,7308,285,6821,93,319,381,1132,6296,6727,210,188,16,28,7419,3104,5143,54,19,75,104,6168,209,50,47,5168,67,21,0,1780,13,53,38,124,164,169
NC,2065,135,1907,213,261,2235,176,77,86,3,31,41,23,140,162,469,109,52,99,89,2586,2525,2,1176,1764,13,5,18,11,122,22,2398,2413,0,2367,11,0,703,70,2391,2490,58,81,17
WP,3963,487,3661,546,687,4203,443,225,257,17,125,172,119,322,394,1129,367,217,240,214,5544,5175,12,2303,3136,90,44,105,40,434,78,4742,4790,0,4667,31,0,1602,5604,4721,5049,119,191,62
SS,311,0,512,2818,2700,245,2918,92,99,27,31,67,60,3053,2956,2350,100,77,3123,3142,34,57,24,1158,526,44,11,53,6,112,21,107,101,124,118,62,0,1912,26,111,77,44,155,12
SB,403,0,656,2722,2582,356,2868,139,153,24,32,73,96,3085,2939,2274,116,86,3229,3300,49,84,19,1253,680,75,27,85,8,151,21,143,134,167,163,70,0,1855,39,150,112,60,3344,14
SO,1809,0,2460,6532,6257,1732,6769,578,648,155,125,307,317,6996,6889,5567,414,350,7191,7285,169,287,134,3189,2529,135,38,207,62,481,101,711,619,515,949,330,0,3805,117,791,438,7717,7324,88
MB,727,0,1039,5010,4760,624,5261,337,371,29,26,67,160,5564,5409,4263,126,88,5812,5927,46,75,23,2176,1066,98,35,124,8,154,18,146,133,174,181,6454,394,3501,35,156,96,0,5987,12
