Stations,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD
MT,305.5,1017.863636,618.8181818,737.6818182,1053.681818,707,1130.136364,1089.318182,1106.272727,805.0909091,881.4090909,553.3636364,666.1363636,567.5454545,438.9545455,335.2272727,675.3181818,1315.045455,884.4090909,1428.181818,1198.636364,833.8181818,691.5,1255.272727,1199.409091,122.5,122.3181818,293.7272727,439.4090909,1325.045455,1781.727273,1350.090909,1655.272727,1428.136364,841.6363636,443.5,1328.590909,447.5,634.7727273,677.1818182,563.7727273,641.8636364,1194.863636,581.6363636
PL,427.3181818,985.8636364,424.2727273,489.8636364,1248.772727,492.7272727,990.4545455,839.6363636,1023.681818,692.7727273,918.1363636,643.5909091,546.7727273,534.2272727,340.1363636,254.2272727,399.5,659,542.1363636,622.1818182,614.4545455,325.9545455,236.8181818,694.1363636,911.9545455,546.0454545,183.1818182,127.5,340.3181818,1782.590909,2196.090909,1417,2970.727273,1511.090909,780.1818182,280.9545455,724.5,268.2727273,573.1363636,505.8636364,480.8181818,1465.227273,785.6818182,314.4090909
CC,296.4090909,746.2727273,369.6363636,444.5454545,832.7727273,477.5909091,881.1818182,840.1818182,900.1818182,540.3636364,750.5,487.1363636,451.1818182,361.7272727,275.5454545,212.6363636,254.8636364,399.0909091,449.1363636,463.5909091,396.9545455,233.6818182,208.3181818,598.1818182,673.6363636,519.6818182,459.5,378.4545455,74.63636364,797.5454545,1141.136364,670.5909091,1352.727273,715.1363636,467.3181818,221.2727273,541.2272727,235.9545455,535.0454545,351.9090909,332.5454545,657.7727273,474.7727273,220.1818182
16,140.3181818,208.2272727,104.7727273,161.5909091,402.7727273,241.3181818,400.9545455,383.3181818,317.1818182,224.7727273,283.3636364,143.5909091,110.3636364,98.59090909,79.63636364,62.59090909,72.04545455,105.9090909,97.59090909,105.7727273,93.40909091,52.86363636,43.54545455,219.6818182,265.0909091,1068.909091,1386.090909,1532.181818,735.0909091,34.81818182,292.4090909,360.1363636,662.9090909,287.5909091,150.5,46.86363636,127.9545455,54.59090909,148.1818182,110.3181818,138.4545455,275.4545455,247.9545455,44.68181818
24,146.5909091,203.0909091,60.95454545,108.4545455,341.2727273,138.2727273,269.4545455,302.3636364,301.4090909,137.5,230.4090909,139.7272727,86.31818182,75.63636364,56.22727273,42.22727273,28.95454545,47.95454545,87.36363636,65.09090909,72.81818182,34.13636364,25.36363636,132.7727273,166.4090909,1685.136364,2155.636364,1925.227273,1093.136364,293.1818182,42.54545455,311.3181818,724.1363636,301.0909091,166.6363636,29.27272727,77.36363636,37.31818182,122.6363636,101,160.5,257.3181818,236,35.36363636
GP,42.90909091,72.68181818,28.04545455,42.18181818,153.0454545,45.68181818,94.18181818,150.9090909,176.1363636,67.90909091,63.40909091,65.40909091,42.59090909,27.22727273,25.90909091,12.59090909,15.04545455,33.77272727,41,73.59090909,53.72727273,21.68181818,27.40909091,74.13636364,52.09090909,1247.727273,1700.090909,1232.954545,734.7272727,373.9090909,300.8181818,22.18181818,135.9545455,80.77272727,66.54545455,14.63636364,52.40909091,17.40909091,62.09090909,35.27272727,78.31818182,126.5909091,152.5,22.22727273
BP,71.04545455,116.9545455,39.18181818,36.95454545,125.2727273,50.09090909,105.1363636,127.4545455,187.9090909,105,117.0454545,79.27272727,60.59090909,48.27272727,44.04545455,22.90909091,28.86363636,38,57.68181818,44.18181818,44.5,15.77272727,18.40909091,40.5,74.59090909,1517.636364,2576.727273,2430.909091,1469.818182,726.5454545,716.1818182,139.1363636,51.90909091,162.5454545,145.0454545,13.59090909,67.18181818,22,77.22727273,99.13636364,155.6818182,118.7272727,168.7272727,18.90909091
DC,59.63636364,128.4545455,44.86363636,34.90909091,146.5,49.31818182,94.18181818,147.0454545,175.0454545,93.54545455,104.1818182,97.18181818,62.22727273,63.72727273,42.5,40.72727273,48.72727273,79.86363636,86.09090909,81.45454545,70.77272727,24.18181818,20.54545455,44.09090909,52.63636364,1286.363636,1607.590909,1301,705.3636364,273.5,279.5,75.77272727,144.1818182,27.31818182,49.40909091,22.81818182,110.8181818,39.72727273,84.36363636,68.90909091,151.3181818,200.2727273,258.9090909,37.5
CM,14.81818182,35.86363636,5.590909091,7.909090909,38.54545455,9.545454545,32.45454545,63.68181818,109.8636364,8.681818182,15.63636364,17.18181818,9.863636364,10.77272727,6.363636364,7.954545455,8.181818182,10.45454545,29.22727273,17.68181818,27.04545455,5.545454545,4.818181818,7.090909091,12.86363636,803.4545455,960.9545455,682.2727273,478.3181818,164.4090909,170.4090909,65.81818182,140.8636364,54.31818182,11.54545455,2.136363636,22.31818182,9.5,26.77272727,20.77272727,74.72727273,101.3181818,117.4545455,2.181818182
CV,6.5,8.090909091,5.954545455,8.363636364,62.81818182,12.40909091,30.45454545,71.18181818,109,109.0909091,66.45454545,123.9545455,52.22727273,69.86363636,28.31818182,24.95454545,21.63636364,35.31818182,7.772727273,4.090909091,9.363636364,1.954545455,1.772727273,7.590909091,8,604.9545455,456.6363636,234.9545455,196.1363636,44.13636364,29.95454545,11.31818182,14.72727273,23.45454545,2.818181818,7.5,125.0909091,0.818181818,4.954545455,5,3.727272727,19.04545455,5.409090909,96
ED,19.22727273,34.86363636,21.36363636,18.13636364,161.0454545,24.04545455,64.18181818,175.5909091,239.6818182,175.3636364,127.5909091,430.8181818,94.59090909,202.0909091,75.18181818,40.90909091,64.72727273,104.2727273,12.31818182,10.13636364,8.272727273,3.318181818,3.363636364,13.22727273,24.22727273,2039.045455,1324.681818,647.3181818,496.6363636,123.7272727,80.77272727,50.13636364,62.22727273,108.9090909,21.54545455,110.1363636,29,2.590909091,13.90909091,24.27272727,18.77272727,124.5,21.31818182,33.90909091
NC,5.545454545,7.863636364,5,5.136363636,53.68181818,9.181818182,46.13636364,169.9090909,157.9545455,13.04545455,13.45454545,56.95454545,11.18181818,6.454545455,8.681818182,4.636363636,6.545454545,11.40909091,60.72727273,35.18181818,76.68181818,15.54545455,7.272727273,23.18181818,7.727272727,587.4090909,472.9545455,234.5909091,207.8636364,48,36.90909091,14,21.5,41.5,9.409090909,1.363636364,2,7.772727273,70.81818182,8.5,11.36363636,58.72727273,11.36363636,2.909090909
WP,44.36363636,46.18181818,15.22727273,13.63636364,105.8636364,32.36363636,206.6818182,239.6363636,302.1363636,52.72727273,67.86363636,150,45.04545455,29.22727273,47.18181818,16.31818182,22,40.13636364,369.0909091,126.5,259.0454545,47.5,20.81818182,54.22727273,37.18181818,833.5,700.9090909,473.1818182,441.4090909,141.6818182,102.0909091,49.13636364,72.27272727,81.90909091,25.68181818,5.181818182,12,59.86363636,18.5,23.18181818,40.45454545,119.7272727,31.59090909,9.818181818
SS,11.95454545,32.81818182,8.681818182,7.454545455,31.95454545,7.090909091,27.40909091,65.86363636,75.86363636,12.45454545,11.5,23,10.45454545,7.954545455,10.13636364,8.863636364,6.272727273,6.363636364,23.59090909,19.31818182,24.36363636,5.545454545,4.727272727,6.5,14.54545455,631.9545455,753.2272727,438.5909091,350.1363636,117.3636364,100.4545455,38.09090909,96.81818182,69.40909091,19.95454545,3.772727273,24.13636364,7.954545455,26.40909091,11.27272727,48.77272727,44.81818182,62.18181818,4.954545455
SB,27.63636364,48.27272727,9.636363636,11,42.72727273,14.40909091,39.5,47.13636364,85.09090909,15.45454545,34.77272727,29.86363636,13.04545455,17.45454545,10.31818182,7.409090909,6.454545455,8,34.72727273,28.81818182,21.77272727,9.318181818,6.363636364,13.27272727,24.5,572.6818182,602.3181818,418.4545455,307.9545455,140.7727273,145.5454545,71.13636364,146.3181818,143.3636364,71.72727273,4.909090909,19.36363636,10,39.36363636,44.04545455,11.90909091,60.63636364,70.22727273,4.136363636
SO,38.90909091,96.59090909,72.09090909,110.1363636,260.9090909,69.59090909,134.7272727,76.86363636,135.3636364,33.54545455,66.86363636,64.77272727,42.77272727,26.5,23.09090909,13.18181818,26.54545455,62.18181818,117.6363636,151.4545455,180.1818182,92.18181818,79.95454545,158.7272727,68.68181818,660.9090909,615.9090909,1761.772727,690.1818182,274.5,236.7272727,120.5909091,106.8181818,195.1363636,94,20.95454545,134.8636364,52,117.8181818,38.81818182,63.22727273,55.77272727,330,39.31818182
MB,35.68181818,62.36363636,26.63636364,35.5,177.2727273,33.72727273,71.63636364,103.4545455,137.4545455,20.40909091,28.31818182,37.31818182,20.90909091,11.90909091,8.545454545,5.636363636,4.454545455,8.136363636,28.31818182,21.59090909,36.63636364,13.31818182,9.818181818,24.68181818,26.63636364,1110,1325.318182,762.0909091,496.3181818,250.6363636,250.9090909,147.4545455,154.8636364,248.6363636,114.7727273,5.863636364,23.40909091,11.81818182,35,59.86363636,73.04545455,394.1818182,28.86363636,7.636363636
WD,3.363636364,17.13636364,11.5,5.136363636,67.59090909,12,29.5,85.72727273,109.5909091,75.68181818,58.90909091,163.6363636,43.31818182,123.7272727,45.31818182,25.18181818,27.95454545,36.54545455,7.272727273,5.636363636,5.363636364,1.181818182,1.590909091,5.454545455,8.272727273,878.7727273,553,269.5,198.5909091,44.09090909,31.13636364,21.45454545,17.40909091,36.86363636,2.636363636,87.54545455,38.27272727,2.545454545,9.909090909,4.5,3.954545455,41.27272727,8.363636364,12.54545455
