Stations,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD
FV,107.7727273,156.5,68.36363636,81.40909091,305.5454545,119.9545455,196.0909091,182,252.7272727,169,19.09090909,344.7727273,244.9090909,288.7272727,252.9090909,107.5909091,89.59090909,159.5454545,55.59090909,35.81818182,52.04545455,22.40909091,31.13636364,52.18181818,127.7727273,860.6818182,881.4090909,918.1363636,750.5,283.3636364,230.4090909,63.40909091,117.0454545,104.1818182,15.63636364,66.45454545,127.5909091,13.45454545,67.86363636,11.5,34.77272727,66.86363636,28.31818182,58.90909091
CL,105,218.8636364,90.95454545,94.09090909,284.1363636,124.8636364,240.3636364,252.5454545,385.8636364,275.0909091,339.4545455,20.13636364,229.3636364,295.2272727,252.1363636,137.9090909,164.5909091,328.4545455,114.1363636,103.7272727,120.2272727,62.22727273,39,77.81818182,112.0454545,684.2727273,553.3636364,643.5909091,487.1363636,143.5909091,139.7272727,65.40909091,79.27272727,97.18181818,17.18181818,123.9545455,430.8181818,56.95454545,150,23,29.86363636,64.77272727,37.31818182,163.6363636
SL,47.54545455,71.31818182,27.95454545,26.22727273,176,41.40909091,127.5909091,222.5454545,335.2272727,255.9545455,252.2727273,233.3636364,13.36363636,135.6363636,175.6818182,77.63636364,78.86363636,127.1363636,42.31818182,21.77272727,27.27272727,11.40909091,7.5,23.13636364,39.45454545,698.2727273,666.1363636,546.7727273,451.1818182,110.3636364,86.31818182,42.59090909,60.59090909,62.22727273,9.863636364,52.22727273,94.59090909,11.18181818,45.04545455,10.45454545,13.04545455,42.77272727,20.90909091,43.31818182
BF,37.36363636,60.36363636,17.18181818,26.18181818,143.1818182,42.81818182,132.9545455,221.7272727,336.2727273,246.0454545,286.8636364,301.4545455,121.2272727,14.5,184.7727273,117.4090909,133.9545455,241.0454545,30.5,13.63636364,21.22727273,5.772727273,7.090909091,14.27272727,52.36363636,627.2272727,567.5454545,534.2272727,361.7272727,98.59090909,75.63636364,27.22727273,48.27272727,63.72727273,10.77272727,69.86363636,202.0909091,6.454545455,29.22727273,7.954545455,17.45454545,26.5,11.90909091,123.7272727
HY,39.31818182,76.45454545,24.31818182,28.77272727,135.7727273,44.27272727,122.8636364,203.9545455,306.1363636,161.1818182,251.6363636,246.5,178.0909091,205.1818182,10.5,124.1818182,173.6818182,327.0909091,32.54545455,23.63636364,21.90909091,9.272727273,5.454545455,14.04545455,34.40909091,464.9545455,438.9545455,340.1363636,275.5454545,79.63636364,56.22727273,25.90909091,44.04545455,42.5,6.363636364,28.31818182,75.18181818,8.681818182,47.18181818,10.13636364,10.31818182,23.09090909,8.545454545,45.31818182
SH,25.31818182,34.5,9.772727273,12.72727273,93.77272727,27.04545455,62.22727273,141.5,178.6363636,102.1363636,103.0454545,125.2727273,82.77272727,114.5454545,113.9090909,7.5,71.45454545,180.2727273,17.81818182,11.77272727,11.86363636,1.272727273,3.318181818,11.13636364,17.45454545,400,335.2272727,254.2272727,212.6363636,62.59090909,42.22727273,12.59090909,22.90909091,40.72727273,7.954545455,24.95454545,40.90909091,4.636363636,16.31818182,8.863636364,7.409090909,13.18181818,5.636363636,25.18181818
UC,17.04545455,39.5,15.5,19.13636364,151.2727273,41,86.45454545,192.6363636,226.9545455,116.8636364,90.86363636,158.2727273,85.54545455,147.0909091,173,76.54545455,19.86363636,195.7727273,14.86363636,14.68181818,17.54545455,5.363636364,4,11.31818182,16.81818182,851.5909091,675.3181818,399.5,254.8636364,72.04545455,28.95454545,15.04545455,28.86363636,48.72727273,8.181818182,21.63636364,64.72727273,6.545454545,22,6.272727273,6.454545455,26.54545455,4.454545455,27.95454545
FM,34.90909091,94.31818182,49.31818182,34.72727273,345.2727273,77.04545455,150.3181818,356.5909091,360.8181818,182.9545455,162.8181818,314.0909091,130.5,254.7727273,337.5,201.5909091,191.6363636,40.13636364,36,36.18181818,30.90909091,12.31818182,13.72727273,35.31818182,23.86363636,1706.090909,1315.045455,659,399.0909091,105.9090909,47.95454545,33.77272727,38,79.86363636,10.45454545,35.31818182,104.2727273,11.40909091,40.13636364,6.363636364,8,62.18181818,8.136363636,36.54545455
CN,31.45454545,43.18181818,24.18181818,18.72727273,138.2727273,33.95454545,139.5,276,296.6818182,35.36363636,56.59090909,108.8636364,42.36363636,29.63636364,36.22727273,17.72727273,15.5,36.95454545,16.22727273,115.4545455,321.4090909,112.4545455,39.63636364,89.13636364,22.27272727,875.9545455,884.4090909,542.1363636,449.1363636,97.59090909,87.36363636,41,57.68181818,86.09090909,29.22727273,7.772727273,12.31818182,60.72727273,369.0909091,23.59090909,34.72727273,117.6363636,28.31818182,7.272727273
PH,16.59090909,19.27272727,14.40909091,17.18181818,157.5,23.59090909,126.9090909,312.0909091,305,27.45454545,33.36363636,96.5,20.77272727,12.81818182,21,14.09090909,15.31818182,36.5,108.5454545,19.54545455,131.7727273,45.13636364,26.77272727,105.5,14.04545455,1567,1428.181818,622.1818182,463.5909091,105.7727273,65.09090909,73.59090909,44.18181818,81.45454545,17.68181818,4.090909091,10.13636364,35.18181818,126.5,19.31818182,28.81818182,151.4545455,21.59090909,5.636363636
WC,27.59090909,45.5,32.59090909,31.59090909,153.6818182,39.18181818,148.1363636,274.2727273,278.3181818,37.18181818,46.22727273,116.5,25.54545455,22.63636364,19.68181818,16.40909091,16.86363636,29.09090909,359.9545455,140.9545455,19,64.90909091,44.90909091,180.0909091,20.86363636,1403.545455,1198.636364,614.4545455,396.9545455,93.40909091,72.81818182,53.72727273,44.5,70.77272727,27.04545455,9.363636364,8.272727273,76.68181818,259.0454545,24.36363636,21.77272727,180.1818182,36.63636364,5.363636364
LF,16.63636364,13.95454545,13.86363636,13.77272727,91.63636364,12,53.5,147.8636364,158.5,12.68181818,22.27272727,60.72727273,12.31818182,4.954545455,10.5,1.954545455,5.090909091,13.09090909,130.0909091,58.77272727,68.86363636,11.77272727,16.81818182,86.72727273,5,976.1363636,833.8181818,325.9545455,233.6818182,52.86363636,34.13636364,21.68181818,15.77272727,24.18181818,5.545454545,1.954545455,3.318181818,15.54545455,47.5,5.545454545,9.318181818,92.18181818,13.31818182,1.181818182
OR,12.18181818,16.27272727,7.727272727,9.863636364,65.77272727,12.13636364,48.59090909,98.27272727,112.1363636,10.45454545,27.40909091,38.18181818,6.727272727,5.772727273,6.545454545,2.409090909,3.818181818,13.22727273,42.77272727,31.31818182,44.77272727,19.72727273,12.86363636,66.81818182,5.590909091,789.3636364,691.5,236.8181818,208.3181818,43.54545455,25.36363636,27.40909091,18.40909091,20.54545455,4.818181818,1.772727273,3.363636364,7.272727273,20.81818182,4.727272727,6.363636364,79.95454545,9.818181818,1.590909091
RR,19.77272727,31.45454545,37.81818182,22.72727273,72.31818182,17.18181818,71.95454545,176.4545455,217.1363636,36,56.72727273,81.27272727,21.95454545,19.68181818,14,10.22727273,11.18181818,34.90909091,84.81818182,107.2272727,170.3181818,83.81818182,66.72727273,17.95454545,32.86363636,1249.863636,1255.272727,694.1363636,598.1818182,219.6818182,132.7727273,74.13636364,40.5,44.09090909,7.090909091,7.590909091,13.22727273,23.18181818,54.22727273,6.5,13.27272727,158.7272727,24.68181818,5.454545455
OW,26.40909091,45.59090909,16.31818182,15.68181818,100.8636364,38.81818182,62.77272727,75.72727273,117.3181818,43.54545455,124.7727273,119.3636364,40.86363636,56.22727273,32.77272727,18.04545455,16.36363636,22,21.59090909,15,18.31818182,4.454545455,5.545454545,31,14.86363636,1509.454545,1199.409091,911.9545455,673.6363636,265.0909091,166.4090909,52.09090909,74.59090909,52.63636364,12.86363636,8,24.22727273,7.727272727,37.18181818,14.54545455,24.5,68.68181818,26.63636364,8.272727273
EM,364.1818182,1026.909091,658.8181818,848.8181818,1465.727273,855.6818182,1234.454545,1344.590909,1461.045455,916.9545455,1016.136364,714.6363636,869.7727273,750.2727273,559.9090909,483.5454545,955.1363636,1906.136364,1047.454545,1912.5,1652.818182,1083.818182,849.0909091,1315.181818,1738.045455,161.3181818,122.5,546.0454545,519.6818182,1068.909091,1685.136364,1247.727273,1517.636364,1286.363636,803.4545455,604.9545455,2039.045455,587.4090909,833.5,631.9545455,572.6818182,660.9090909,1110,878.7727273
MT,343.9545455,978.2727273,608.7272727,656.3636364,1024.772727,742.1818182,1157.136364,1103,1105.545455,802.3636364,916.7727273,532.5,669.8636364,604.4090909,472.4545455,360.0909091,696.7272727,1331.454545,900.1363636,1420.681818,1111.954545,753.2272727,633.1818182,1110,1276.727273,128.1363636,122.3181818,183.1818182,459.5,1386.090909,2155.636364,1700.090909,2576.727273,1607.590909,960.9545455,456.6363636,1324.681818,472.9545455,700.9090909,753.2272727,602.3181818,615.9090909,1325.318182,553
PL,362.5909091,750,343.6363636,421.4090909,1113.590909,437.6363636,803.9545455,782.2727273,878.4545455,574.8181818,755.1363636,588.5,445.6818182,435.4545455,288.4545455,215.3181818,321.6818182,561.4545455,440.6363636,502,502.6818182,263.3181818,190.3636364,516.6363636,849.3181818,758.9090909,293.7272727,127.5,378.4545455,1532.181818,1925.227273,1232.954545,2430.909091,1301,682.2727273,234.9545455,647.3181818,234.5909091,473.1818182,438.5909091,418.4545455,1761.772727,762.0909091,269.5
CC,264.9545455,602.1818182,327.2727273,364.0909091,661.2272727,436.4090909,760.7727273,688.8181818,689.5454545,442.4545455,688.5,424.5,376.4545455,334.4545455,250.5454545,194.7727273,241.3636364,362.5,385.9090909,411.7727273,326.7727273,203.0909091,172.6363636,493.7727273,647.0454545,489.3636364,439.4090909,340.3181818,74.63636364,735.0909091,1093.136364,734.7272727,1469.818182,705.3636364,478.3181818,196.1363636,496.6363636,207.8636364,441.4090909,350.1363636,307.9545455,690.1818182,496.3181818,198.5909091
16,127.6818182,174.2272727,98.09090909,154.5,380.1363636,233.8181818,381.5909091,375,305.4545455,202.6818182,252.5454545,138.0909091,95.45454545,89.5,79.72727273,60.27272727,67.81818182,102.5454545,89.72727273,95.5,79.59090909,48.22727273,36.68181818,201.2272727,261.2272727,1108.227273,1325.045455,1782.590909,797.5454545,34.81818182,293.1818182,373.9090909,726.5454545,273.5,164.4090909,44.13636364,123.7272727,48,141.6818182,117.3636364,140.7727273,274.5,250.6363636,44.09090909
24,130.3636364,181.0909091,59.18181818,103.3181818,307.2272727,141.4090909,262.0909091,293.0909091,283.7727273,126.3636364,217.0454545,135.5454545,77.45454545,68.5,50.77272727,41.22727273,27.31818182,45.68181818,74.5,60.31818182,63.04545455,35.86363636,26.5,121.3181818,184.7727273,1437.045455,1781.727273,2196.090909,1141.136364,292.4090909,42.54545455,300.8181818,716.1818182,279.5,170.4090909,29.95454545,80.77272727,36.90909091,102.0909091,100.4545455,145.5454545,236.7272727,250.9090909,31.13636364
GP,41.72727273,59.68181818,26.31818182,43.27272727,139.7272727,46.59090909,91.77272727,146.8181818,161.6818182,57.77272727,59.72727273,64.5,31.59090909,22.40909091,27.72727273,11.95454545,13.72727273,28.27272727,36.40909091,45.36363636,52.86363636,15.63636364,19.36363636,59.40909091,55.04545455,1117.954545,1350.090909,1417,670.5909091,360.1363636,311.3181818,22.18181818,139.1363636,75.77272727,65.81818182,11.31818182,50.13636364,14,49.13636364,38.09090909,71.13636364,120.5909091,147.4545455,21.45454545
BP,65.86363636,107.8636364,39.36363636,40,115.2272727,54.90909091,100.5909091,117.4090909,164.0909091,92.68181818,106.0454545,78.22727273,61,45.36363636,38.04545455,25.90909091,28.54545455,36.22727273,53.13636364,44.54545455,40.40909091,15.36363636,14.95454545,40.59090909,85.18181818,1341.772727,1655.272727,2970.727273,1352.727273,662.9090909,724.1363636,135.9545455,51.90909091,144.1818182,140.8636364,14.72727273,62.22727273,21.5,72.27272727,96.81818182,146.3181818,106.8181818,154.8636364,17.40909091
DC,59.86363636,126.1818182,45.27272727,33.40909091,136.0454545,49.63636364,90.36363636,145.5909091,168.8181818,96.5,114.8181818,102.3636364,61.13636364,63.13636364,44.90909091,41.36363636,48.5,79.45454545,82.31818182,77,68.36363636,25.22727273,21.72727273,44.40909091,64.59090909,1231,1428.136364,1511.090909,715.1363636,287.5909091,301.0909091,80.77272727,162.5454545,27.31818182,54.31818182,23.45454545,108.9090909,41.5,81.90909091,69.40909091,143.3636364,195.1363636,248.6363636,36.86363636
CM,15.04545455,34.63636364,5.636363636,7.636363636,36.95454545,10.31818182,29.45454545,65.22727273,101.3181818,10.04545455,13.90909091,16.77272727,11.13636364,10.27272727,6.954545455,6.681818182,8.454545455,8,28.5,17.13636364,24.31818182,5.636363636,6.227272727,7.454545455,16.86363636,776.7727273,841.6363636,780.1818182,467.3181818,150.5,166.6363636,66.54545455,145.0454545,49.40909091,11.54545455,2.818181818,21.54545455,9.409090909,25.68181818,19.95454545,71.72727273,94,114.7727273,2.636363636
CV,7.681818182,10.5,5.954545455,9.545454545,61.09090909,11.81818182,30.40909091,75.18181818,108.4090909,108.3636364,68.27272727,115.9545455,49,78.45454545,31.77272727,27.31818182,21.45454545,34.5,7.454545455,3.454545455,8.272727273,2.181818182,1.090909091,7.636363636,8.636363636,526.7272727,443.5,280.9545455,221.2727273,46.86363636,29.27272727,14.63636364,13.59090909,22.81818182,2.136363636,7.5,110.1363636,1.363636364,5.181818182,3.772727273,4.909090909,20.95454545,5.863636364,87.54545455
ED,22.54545455,36.40909091,23.36363636,18.31818182,156.9090909,26.95454545,59.77272727,177.2727273,231.5,175.1818182,128.3181818,408.0454545,97.09090909,209.7727273,76.5,45.40909091,61.31818182,102.6818182,13.77272727,8.545454545,10.13636364,3.409090909,2.318181818,14.27272727,23.18181818,1747.318182,1328.590909,724.5,541.2272727,127.9545455,77.36363636,52.40909091,67.18181818,110.8181818,22.31818182,125.0909091,29,2,12,24.13636364,19.36363636,134.8636364,23.40909091,38.27272727
NC,6.818181818,7.227272727,3.318181818,6.318181818,53.04545455,8.954545455,43.72727273,165.1818182,146.4090909,12.59090909,13.18181818,51.13636364,11.59090909,7.636363636,8.545454545,4.727272727,7.181818182,10.81818182,60.09090909,42.63636364,70.31818182,13.77272727,6.636363636,28.81818182,7.454545455,500.0454545,447.5,268.2727273,235.9545455,54.59090909,37.31818182,17.40909091,22,39.72727273,9.5,0.818181818,2.590909091,7.772727273,59.86363636,7.954545455,10,52,11.81818182,2.545454545
WP,46.04545455,50.04545455,15.18181818,11.40909091,104.5,30.45454545,222.6818182,244.2272727,301.1818182,44.81818182,64.09090909,141.7272727,41.09090909,28.5,42.27272727,17.54545455,21.27272727,38.95454545,366.0454545,137.6818182,264.2272727,44.31818182,24.40909091,56.54545455,39.63636364,671.9545455,634.7727273,573.1363636,535.0454545,148.1818182,122.6363636,62.09090909,77.22727273,84.36363636,26.77272727,4.954545455,13.90909091,70.81818182,18.5,26.40909091,39.36363636,117.8181818,35,9.909090909
SS,12.63636364,30,8,7.545454545,30.45454545,8.181818182,25.63636364,61.27272727,74.31818182,12.68181818,10.22727273,22.68181818,9.636363636,8.772727273,10.45454545,8.272727273,7.363636364,6.909090909,23.63636364,18.95454545,23.22727273,5.136363636,5.909090909,8,11.63636364,604.5454545,677.1818182,505.8636364,351.9090909,110.3181818,101,35.27272727,99.13636364,68.90909091,20.77272727,5,24.27272727,8.5,23.18181818,11.27272727,44.04545455,38.81818182,59.86363636,4.5
SB,25.54545455,52.22727273,10.59090909,11.86363636,43.63636364,14.68181818,36.72727273,48.77272727,77.72727273,14.63636364,34.86363636,32.63636364,13.13636364,18.68181818,9.909090909,6.181818182,7.363636364,8.681818182,31.59090909,28.13636364,21.36363636,9.181818182,6.363636364,12.77272727,28.04545455,560.5909091,563.7727273,480.8181818,332.5454545,138.4545455,160.5,78.31818182,155.6818182,151.3181818,74.72727273,3.727272727,18.77272727,11.36363636,40.45454545,48.77272727,11.90909091,63.22727273,73.04545455,3.954545455
SO,39.72727273,98.59090909,72.86363636,107.8636364,247.0909091,75.95454545,141.0909091,95.59090909,129.5909091,39.81818182,61,62.59090909,40.54545455,23.36363636,23.04545455,14.22727273,22.95454545,58.04545455,116.8636364,171.0909091,180.6818182,94.04545455,82.54545455,164.1818182,90.27272727,652.8636364,641.8636364,1465.227273,657.7727273,275.4545455,257.3181818,126.5909091,118.7272727,200.2727273,101.3181818,19.04545455,124.5,58.72727273,119.7272727,44.81818182,60.63636364,55.77272727,394.1818182,41.27272727
MB,40.90909091,57.54545455,26,35.13636364,185.5,32.81818182,72.63636364,102,127.6363636,20.86363636,30.63636364,33.54545455,19.54545455,11,7.863636364,4.863636364,4.636363636,7.318181818,25.5,20.95454545,32.81818182,11.86363636,8.818181818,23.27272727,27.40909091,1034.181818,1194.863636,785.6818182,474.7727273,247.9545455,236,152.5,168.7272727,258.9090909,117.4545455,5.409090909,21.31818182,11.36363636,31.59090909,62.18181818,70.22727273,330,28.86363636,8.363636364
WD,5.318181818,19.22727273,10.59090909,5.863636364,71.72727273,13,29.86363636,81.04545455,109.0909091,76.77272727,60.59090909,167.5454545,49.04545455,129.8636364,42.68181818,27.5,32.36363636,39.72727273,7.090909091,5.909090909,5.454545455,1.227272727,2.227272727,6.454545455,12.04545455,788.6818182,581.6363636,314.4090909,220.1818182,44.68181818,35.36363636,22.22727273,18.90909091,37.5,2.181818182,96,33.90909091,2.909090909,9.818181818,4.954545455,4.136363636,39.31818182,7.636363636,12.54545455
